Date,Tbill,Rmarket
196310,0.0029,0.0282
196311,0.0027,-0.0058
196312,0.0029,0.0212
196401,0.003,0.0254
196402,0.0026,0.018
196403,0.0031,0.0172
196404,0.0029,0.0039
196405,0.0026,0.0168
196406,0.003,0.0157
196407,0.003,0.0204
196408,0.0028,-0.0116
196409,0.0028,0.0297
196410,0.0029,0.0088
196411,0.0029,0.0029
196412,0.0031,0.0034
196501,0.0028,0.0382
196502,0.003,0.0074
196503,0.0036,-0.0098
196504,0.0031,0.0342
196505,0.0031,-0.0046
196506,0.0035,-0.0516
196507,0.0031,0.0174
196508,0.0033,0.0306
196509,0.0031,0.0317
196510,0.0031,0.0291
196511,0.0035,0.0032
196512,0.0033,0.0134
196601,0.0038,0.011
196602,0.0035,-0.0086
196603,0.0038,-0.0213
196604,0.0034,0.0248
196605,0.0041,-0.0525
196606,0.0038,-0.0106
196607,0.0035,-0.0128
196608,0.0041,-0.075
196609,0.004,-0.0066
196610,0.0045,0.0431
196611,0.004,0.018
196612,0.004,0.0053
196701,0.0043,0.0858
196702,0.0036,0.0114
196703,0.0039,0.0438
196704,0.0032,0.0421
196705,0.0033,-0.04
196706,0.0027,0.0268
196707,0.0031,0.0489
196708,0.0031,-0.0058
196709,0.0032,0.0343
196710,0.0039,-0.027
196711,0.0036,0.0073
196712,0.0033,0.0338
196801,0.004,-0.0366
196802,0.0039,-0.0336
196803,0.0038,0.0058
196804,0.0043,0.0948
196805,0.0045,0.0273
196806,0.0043,0.0112
196807,0.0048,-0.0224
196808,0.0042,0.0176
196809,0.0043,0.0446
196810,0.0044,0.0086
196811,0.0042,0.0585
196812,0.0043,-0.0351
196901,0.0053,-0.0072
196902,0.0046,-0.0538
196903,0.0046,0.031
196904,0.0053,0.0199
196905,0.0048,0.0038
196906,0.0051,-0.0667
196907,0.0053,-0.0647
196908,0.005,0.0518
196909,0.0062,-0.0236
196910,0.006,0.0566
196911,0.0052,-0.0327
196912,0.0064,-0.0199
197001,0.006,-0.075
197002,0.0062,0.0575
197003,0.0057,-0.0049
197004,0.005,-0.105
197005,0.0053,-0.0639
197006,0.0058,-0.0521
197007,0.0052,0.0745
197008,0.0053,0.0502
197009,0.0054,0.0472
197010,0.0046,-0.0182
197011,0.0046,0.0505
197012,0.0042,0.0614
197101,0.0038,0.0522
197102,0.0033,0.0174
197103,0.003,0.0443
197104,0.0028,0.0343
197105,0.0029,-0.0369
197106,0.0037,0.0027
197107,0.004,-0.041
197108,0.0047,0.0426
197109,0.0037,-0.0048
197110,0.0037,-0.0405
197111,0.0037,-0.0009
197112,0.0037,0.0908
197201,0.0029,0.0278
197202,0.0025,0.0312
197203,0.0027,0.009
197204,0.0029,0.0058
197205,0.003,0.0155
197206,0.0029,-0.0214
197207,0.0031,-0.0049
197208,0.0029,0.0355
197209,0.0034,-0.008
197210,0.004,0.0092
197211,0.0037,0.0497
197212,0.0037,0.0099
197301,0.0044,-0.0285
197302,0.0041,-0.0444
197303,0.0046,-0.0083
197304,0.0052,-0.0516
197305,0.0051,-0.0243
197306,0.0051,-0.0105
197307,0.0064,0.0568
197308,0.007,-0.0314
197309,0.0068,0.0543
197310,0.0065,-0.0021
197311,0.0056,-0.1218
197312,0.0064,0.0122
197401,0.0063,0.0046
197402,0.0058,0.001
197403,0.0056,-0.0225
197404,0.0075,-0.0454
197405,0.0075,-0.0392
197406,0.006,-0.0223
197407,0.007,-0.0735
197408,0.006,-0.0875
197409,0.0081,-0.1096
197410,0.0051,0.1661
197411,0.0054,-0.0397
197412,0.007,-0.0274
197501,0.0058,0.1424
197502,0.0043,0.0599
197503,0.0041,0.0307
197504,0.0044,0.0467
197505,0.0044,0.0563
197506,0.0041,0.0523
197507,0.0048,-0.0611
197508,0.0048,-0.0237
197509,0.0053,-0.0373
197510,0.0056,0.0587
197511,0.0041,0.0306
197512,0.0048,-0.0112
197601,0.0047,0.1263
197602,0.0034,0.0066
197603,0.004,0.0273
197604,0.0042,-0.0107
197605,0.0037,-0.0098
197606,0.0043,0.0448
197607,0.0047,-0.006
197608,0.0042,-0.0014
197609,0.0044,0.025
197610,0.0041,-0.0201
197611,0.004,0.0076
197612,0.004,0.0605
197701,0.0036,-0.0369
197702,0.0035,-0.016
197703,0.0038,-0.0099
197704,0.0038,0.0053
197705,0.0037,-0.0109
197706,0.004,0.0511
197707,0.0042,-0.0127
197708,0.0044,-0.0131
197709,0.0043,0.0016
197710,0.0049,-0.0389
197711,0.005,0.045
197712,0.0049,0.0076
197801,0.0049,-0.0552
197802,0.0046,-0.0092
197803,0.0053,0.0338
197804,0.0054,0.0842
197805,0.0051,0.0227
197806,0.0054,-0.0115
197807,0.0056,0.0567
197808,0.0056,0.0431
197809,0.0062,-0.0081
197810,0.0068,-0.1123
197811,0.007,0.0341
197812,0.0078,0.0166
197901,0.0077,0.05
197902,0.0073,-0.0283
197903,0.0081,0.0649
197904,0.008,0.0074
197905,0.0082,-0.0139
197906,0.0081,0.0466
197907,0.0077,0.0159
197908,0.0077,0.063
197909,0.0083,0.0001
197910,0.0087,-0.0723
197911,0.0099,0.062
197912,0.0095,0.0274
198001,0.008,0.0631
198002,0.0089,-0.0033
198003,0.0121,-0.1169
198004,0.0126,0.0523
198005,0.0081,0.0607
198006,0.0061,0.0367
198007,0.0053,0.0702
198008,0.0064,0.0244
198009,0.0075,0.0294
198010,0.0095,0.0201
198011,0.0096,0.1055
198012,0.0131,-0.0321
198101,0.0104,-0.04
198102,0.0107,0.0163
198103,0.0121,0.0477
198104,0.0108,-0.0102
198105,0.0115,0.0126
198106,0.0135,-0.0101
198107,0.0124,-0.003
198108,0.0128,-0.0575
198109,0.0124,-0.0593
198110,0.0121,0.0613
198111,0.0107,0.0443
198112,0.0087,-0.0278
198201,0.008,-0.0244
198202,0.0092,-0.0494
198203,0.0098,-0.0089
198204,0.0113,0.044
198205,0.0106,-0.0293
198206,0.0096,-0.0213
198207,0.0105,-0.0214
198208,0.0076,0.119
198209,0.0051,0.018
198210,0.0059,0.1189
198211,0.0063,0.053
198212,0.0067,0.0122
198301,0.0069,0.0429
198302,0.0062,0.0321
198303,0.0063,0.0345
198304,0.0071,0.0738
198305,0.0069,0.0121
198306,0.0067,0.0374
198307,0.0074,-0.0333
198308,0.0076,0.0026
198309,0.0076,0.0168
198310,0.0076,-0.0268
198311,0.007,0.0286
198312,0.0073,-0.0105
198401,0.0076,-0.0116
198402,0.0071,-0.0411
198403,0.0073,0.0136
198404,0.0081,0.0029
198405,0.0078,-0.0519
198406,0.0075,0.0257
198407,0.0082,-0.0192
198408,0.0083,0.1111
198409,0.0086,0.0006
198410,0.01,0.0016
198411,0.0073,-0.0103
198412,0.0064,0.0248
198501,0.0065,0.0864
198502,0.0058,0.018
198503,0.0062,-0.0022
198504,0.0072,-0.0024
198505,0.0066,0.0575
198506,0.0055,0.0182
198507,0.0062,-0.0012
198508,0.0055,-0.0047
198509,0.006,-0.0394
198510,0.0065,0.0467
198511,0.0061,0.0709
198512,0.0065,0.0453
198601,0.0056,0.0121
198602,0.0053,0.0766
198603,0.006,0.0548
198604,0.0052,-0.0079
198605,0.0049,0.0511
198606,0.0052,0.0155
198607,0.0052,-0.0593
198608,0.0046,0.0653
198609,0.0045,-0.0815
198610,0.0046,0.0512
198611,0.0039,0.0156
198612,0.0049,-0.0278
198701,0.0042,0.1289
198702,0.0043,0.0482
198703,0.0047,0.0211
198704,0.0044,-0.0167
198705,0.0038,0.0049
198706,0.0048,0.0442
198707,0.0046,0.0431
198708,0.0047,0.0399
198709,0.0045,-0.0214
198710,0.006,-0.2264
198711,0.0035,-0.0742
198712,0.0039,0.072
198801,0.0029,0.045
198802,0.0046,0.0521
198803,0.0044,-0.0183
198804,0.0046,0.0102
198805,0.0051,0.0022
198806,0.0049,0.0528
198807,0.0051,-0.0074
198808,0.0059,-0.0272
198809,0.0062,0.0392
198810,0.0061,0.0176
198811,0.0057,-0.0172
198812,0.0063,0.0212
198901,0.0055,0.0665
198902,0.0061,-0.0164
198903,0.0067,0.0224
198904,0.0067,0.05
198905,0.0079,0.0414
198906,0.0071,-0.0064
198907,0.007,0.079
198908,0.0074,0.0218
198909,0.0065,-0.0011
198910,0.0068,-0.0299
198911,0.0069,0.0172
198912,0.0061,0.0177
199001,0.0057,-0.0728
199002,0.0057,0.0168
199003,0.0064,0.0247
199004,0.0069,-0.0267
199005,0.0068,0.091
199006,0.0063,-0.0046
199007,0.0068,-0.0122
199008,0.0066,-0.0948
199009,0.006,-0.0552
199010,0.0068,-0.0124
199011,0.0057,0.0692
199012,0.006,0.0306
199101,0.0052,0.0521
199102,0.0048,0.0767
199103,0.0044,0.0309
199104,0.0053,0.0025
199105,0.0047,0.0411
199106,0.0042,-0.0452
199107,0.0049,0.0473
199108,0.0046,0.0278
199109,0.0046,-0.0113
199110,0.0042,0.017
199111,0.0039,-0.038
199112,0.0038,0.1121
199201,0.0034,-0.0025
199202,0.0028,0.0137
199203,0.0034,-0.0231
199204,0.0032,0.014
199205,0.0028,0.0058
199206,0.0032,-0.0202
199207,0.0031,0.0408
199208,0.0026,-0.0212
199209,0.0026,0.0145
199210,0.0023,0.0125
199211,0.0023,0.0436
199212,0.0028,0.0181
199301,0.0023,0.0116
199302,0.0022,0.0035
199303,0.0025,0.0255
199304,0.0024,-0.0281
199305,0.0022,0.031
199306,0.0025,0.0056
199307,0.0024,-0.001
199308,0.0025,0.0397
199309,0.0026,0.0014
199310,0.0022,0.0163
199311,0.0025,-0.0164
199312,0.0023,0.0188
199401,0.0025,0.0312
199402,0.0021,-0.0235
199403,0.0027,-0.0451
199404,0.0027,0.0095
199405,0.0031,0.0089
199406,0.0031,-0.0272
199407,0.0028,0.031
199408,0.0037,0.0438
199409,0.0037,-0.0194
199410,0.0038,0.0172
199411,0.0037,-0.0367
199412,0.0044,0.013
199501,0.0042,0.0222
199502,0.004,0.0403
199503,0.0046,0.0264
199504,0.0044,0.0255
199505,0.0054,0.0344
199506,0.0047,0.0319
199507,0.0045,0.0417
199508,0.0047,0.0102
199509,0.0043,0.0378
199510,0.0047,-0.0105
199511,0.0042,0.0437
199512,0.0049,0.0152
199601,0.0043,0.0269
199602,0.0039,0.0172
199603,0.0039,0.0112
199604,0.0046,0.0252
199605,0.0042,0.0278
199606,0.004,-0.0074
199607,0.0045,-0.0552
199608,0.0041,0.0317
199609,0.0044,0.0546
199610,0.0042,0.0128
199611,0.0041,0.0666
199612,0.0046,-0.0124
199701,0.0045,0.0544
199702,0.0039,-0.001
199703,0.0043,-0.046
199704,0.0043,0.0447
199705,0.0049,0.0723
199706,0.0037,0.0447
199707,0.0043,0.0776
199708,0.0041,-0.0374
199709,0.0044,0.0579
199710,0.0042,-0.0338
199711,0.0039,0.0337
199712,0.0048,0.018
199801,0.0043,0.0058
199802,0.0039,0.0742
199803,0.0039,0.0515
199804,0.0043,0.0116
199805,0.004,-0.0267
199806,0.0041,0.0359
199807,0.004,-0.0206
199808,0.0043,-0.1565
199809,0.0046,0.0661
199810,0.0032,0.0745
199811,0.0031,0.0641
199812,0.0038,0.0654
199901,0.0035,0.0385
199902,0.0035,-0.0373
199903,0.0043,0.0388
199904,0.0037,0.047
199905,0.0034,-0.0212
199906,0.004,0.0517
199907,0.0038,-0.0309
199908,0.0039,-0.0099
199909,0.0039,-0.0242
199910,0.0039,0.0652
199911,0.0036,0.0373
199912,0.0044,0.0816
200001,0.0041,-0.0433
200002,0.0043,0.0288
200003,0.0047,0.0567
200004,0.0046,-0.0594
200005,0.005,-0.0392
200006,0.004,0.0504
200007,0.0048,-0.0203
200008,0.005,0.0753
200009,0.0051,-0.0494
200010,0.0056,-0.022
200011,0.0051,-0.1021
200012,0.005,0.0169
200101,0.0054,0.0367
200102,0.0038,-0.0967
200103,0.0042,-0.0684
200104,0.0039,0.0833
200105,0.0032,0.0104
200106,0.0028,-0.0166
200107,0.003,-0.0183
200108,0.0031,-0.0615
200109,0.0028,-0.0897
200110,0.0022,0.0268
200111,0.0017,0.0771
200112,0.0015,0.0176
200201,0.0014,-0.013
200202,0.0013,-0.0216
200203,0.0013,0.0437
200204,0.0015,-0.0505
200205,0.0014,-0.0124
200206,0.0013,-0.0708
200207,0.0015,-0.0803
200208,0.0014,0.0064
200209,0.0014,-0.1021
200210,0.0014,0.0798
200211,0.0012,0.0608
200212,0.0011,-0.0565
200301,0.001,-0.0247
200302,0.0009,-0.0179
200303,0.001,0.0119
200304,0.001,0.0832
200305,0.0009,0.0614
200306,0.001,0.0152
200307,0.0007,0.0242
200308,0.0007,0.0241
200309,0.0008,-0.0116
200310,0.0007,0.0615
200311,0.0007,0.0142
200312,0.0008,0.0437
200401,0.0007,0.0222
200402,0.0006,0.0146
200403,0.0009,-0.0123
200404,0.0008,-0.0175
200405,0.0006,0.0123
200406,0.0008,0.0194
200407,0.001,-0.0396
200408,0.0011,0.0019
200409,0.0011,0.0171
200410,0.0011,0.0154
200411,0.0015,0.0469
200412,0.0016,0.0359
200501,0.0016,-0.026
200502,0.0016,0.0205
200503,0.0021,-0.0176
200504,0.0021,-0.024
200505,0.0024,0.0389
200506,0.0023,0.008
200507,0.0024,0.0416
200508,0.003,-0.0092
200509,0.0029,0.0078
200510,0.0027,-0.0175
200511,0.0031,0.0392
200512,0.0032,0.0007
200601,0.0035,0.0339
200602,0.0034,0.0004
200603,0.0037,0.0183
200604,0.0036,0.0109
200605,0.0043,-0.0314
200606,0.004,0.0005
200607,0.004,-0.0038
200608,0.0042,0.0245
200609,0.0041,0.0225
200610,0.0041,0.0364
200611,0.0042,0.0213
200612,0.004,0.0127
200701,0.0044,0.0184
200702,0.0038,-0.0158
200703,0.0043,0.0111
200704,0.0044,0.0393
200705,0.0041,0.0365
200706,0.004,-0.0156
200707,0.004,-0.0333
200708,0.0042,0.0134
200709,0.0032,0.0354
200710,0.0032,0.0212
200711,0.0034,-0.0449
200712,0.0027,-0.006
200801,0.0021,-0.0615
200802,0.0013,-0.0296
200803,0.0017,-0.0076
200804,0.0018,0.0478
200805,0.0018,0.0204
200806,0.0017,-0.0827
200807,0.0015,-0.0062
200808,0.0013,0.0166
200809,0.0015,-0.0909
200810,0.0008,-0.1715
200811,0.0003,-0.0783
200812,0,0.0174
200901,0,-0.0812
200902,0.0001,-0.1009
200903,0.0002,0.0897
200904,0.0001,0.102
200905,0,0.0521
200906,0.0001,0.0044
200907,0.0001,0.0773
200908,0.0001,0.0334
200909,0.0001,0.0409
200910,0,-0.0259
200911,0,0.0556
200912,0.0001,0.0276
201001,0,-0.0336
201002,0,0.034
201003,0.0001,0.0632
201004,0.0001,0.0201
201005,0.0001,-0.0788
201006,0.0001,-0.0555
201007,0.0001,0.0694
201008,0.0001,-0.0476
201009,0.0001,0.0955
201010,0.0001,0.0389
201011,0.0001,0.0061
201012,0.0001,0.0683
201101,0.0001,0.02
201102,0.0001,0.035
201103,0.0001,0.0046
201104,0,0.029
201105,0,-0.0127
201106,0,-0.0175
201107,0,-0.0236
201108,0.0001,-0.0598
201109,0,-0.0759
201110,0,0.1135
201111,0,-0.0028
201112,0,0.0074
201201,0,0.0505
201202,0,0.0442
201203,0,0.0311
201204,0,-0.0085
201205,0.0001,-0.0618
201206,0,0.0389
201207,0,0.0079
201208,0.0001,0.0256
201209,0.0001,0.0274
201210,0.0001,-0.0175
201211,0.0001,0.0079
201212,0.0001,0.0119
201301,0,0.0557
201302,0,0.0129
