date,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
1972-09,6.7,6.26,6.92,7.32,7.58,7.74,7.86,7.95,8.02,8.08
1972-10,7.04,7.68,7.96,8.1,8.19,8.25,8.29,8.32,8.34,8.36
1972-11,9.09,7.88,7.99,8.16,8.29,8.37,8.43,8.48,8.52,8.55
1972-12,6.92,8.07,8.26,8.3,8.34,8.42,8.5,8.59,8.66,8.73
1973-01,6.42,7.32,7.87,8.16,8.33,8.45,8.55,8.65,8.74,8.84
1973-02,7.05,7.25,7.82,8.1,8.24,8.33,8.4,8.47,8.54,8.62
1973-03,6.97,7.82,8.23,8.41,8.48,8.52,8.56,8.6,8.66,8.74
1973-04,8.33,8.69,8.66,8.69,8.73,8.75,8.78,8.79,8.81,8.82
1973-05,8.95,9.33,9.41,9.44,9.46,9.49,9.51,9.55,9.58,9.62
1973-06,10.61,9.1,9.18,9.35,9.48,9.59,9.67,9.74,9.8,9.85
1973-07,10.21,10.25,10.12,9.99,9.89,9.84,9.83,9.83,9.85,9.87
1973-08,9.15,9.3,9.35,9.38,9.39,9.4,9.41,9.41,9.42,9.42
1973-09,9.36,9.48,9.52,9.54,9.55,9.56,9.57,9.57,9.57,9.58
1973-10,8.84,9.24,9.31,9.34,9.36,9.38,9.39,9.39,9.4,9.41
1973-11,10.19,9.6,9.35,9.28,9.31,9.37,9.45,9.53,9.6,9.67
1973-12,10.39,9.48,9.21,9.21,9.3,9.43,9.55,9.66,9.75,9.83
1974-01,9.37,9.26,9.24,9.27,9.34,9.41,9.49,9.55,9.61,9.65
1974-02,10.43,10.14,10.02,10,10.04,10.12,10.21,10.31,10.42,10.52
1974-03,10.05,9.99,9.98,10.03,10.12,10.22,10.31,10.39,10.46,10.52
1974-04,10.04,10.02,10.01,10.05,10.11,10.19,10.27,10.35,10.41,10.46
1974-05,8.8,9.87,10.25,10.44,10.55,10.63,10.68,10.73,10.76,10.78
1974-06,9.89,9.57,9.83,10.06,10.29,10.51,10.71,10.9,11.07,11.22
1974-07,9.49,9.63,9.85,10.11,10.36,10.59,10.8,10.99,11.16,11.3
1974-08,9.69,9.79,9.95,10.14,10.33,10.52,10.71,10.87,11.03,11.17
1974-09,9.7,9.78,9.97,10.19,10.41,10.6,10.78,10.93,11.06,11.17
1974-10,9.32,9.63,9.92,10.18,10.39,10.56,10.7,10.81,10.9,10.97
1974-11,8.73,8.84,9.14,9.46,9.74,9.96,10.13,10.27,10.38,10.48
1974-12,8.65,8.77,9.01,9.24,9.45,9.62,9.76,9.88,9.97,10.04
1975-01,7.48,7.56,7.96,8.35,8.68,8.93,9.12,9.28,9.39,9.49
1975-02,6.5,6.93,7.49,8,8.41,8.73,8.98,9.18,9.33,9.46
1975-03,6.42,6.95,7.55,8.07,8.49,8.82,9.07,9.28,9.44,9.57
1975-04,5.94,6.59,7.27,7.82,8.21,8.49,8.69,8.85,8.97,9.06
1975-05,5.58,6.3,6.99,7.57,8.02,8.35,8.58,8.71,8.77,8.77
1975-06,5.69,6.49,7.13,7.64,8.03,8.31,8.51,8.64,8.72,8.74
1975-07,5.42,6.33,7.05,7.6,8.02,8.31,8.51,8.64,8.7,8.71
1975-08,5.34,6.38,7.1,7.63,8.02,8.29,8.48,8.61,8.68,8.71
1975-09,5.57,6.43,7.13,7.64,8.01,8.28,8.48,8.63,8.75,8.85
1975-10,6.25,6.48,7.31,7.9,8.29,8.55,8.74,8.89,9,9.09
1975-11,5.92,6.51,7.21,7.81,8.25,8.53,8.67,8.71,8.68,8.6
1975-12,5.78,6.4,7.17,7.8,8.23,8.48,8.6,8.62,8.59,8.53
1976-01,5.23,6.06,6.92,7.56,7.97,8.22,8.37,8.46,8.51,8.54
1976-02,4.81,5.64,6.5,7.2,7.7,8.02,8.21,8.31,8.34,8.34
1976-03,4.58,5.59,6.47,7.08,7.51,7.81,8.02,8.16,8.24,8.28
1976-04,4.37,5.59,6.56,7.2,7.63,7.93,8.14,8.3,8.43,8.53
1976-05,4.93,6.11,6.97,7.54,7.95,8.25,8.47,8.64,8.77,8.88
1976-06,5,6.14,7.02,7.6,7.99,8.27,8.47,8.62,8.74,8.84
1976-07,6,6.74,7.3,7.77,8.12,8.38,8.57,8.71,8.83,8.92
1976-08,5.6,6.78,7.34,7.7,7.97,8.19,8.35,8.48,8.59,8.67
1976-09,5.53,6.51,7.15,7.56,7.82,8,8.12,8.22,8.29,8.35
1976-10,5.61,6.46,7.04,7.4,7.64,7.81,7.93,8.01,8.08,8.14
1976-11,5.08,5.93,6.6,7.05,7.33,7.5,7.59,7.64,7.65,7.65
1976-12,5.31,6.08,6.72,7.08,7.28,7.41,7.51,7.59,7.68,7.76
1977-01,5.35,5.98,6.46,6.81,7.06,7.23,7.34,7.4,7.42,7.42
1977-02,5.13,5.91,6.39,6.74,6.99,7.17,7.29,7.35,7.39,7.39
1977-03,4.7,5.41,5.95,6.29,6.5,6.66,6.79,6.89,6.99,7.08
1977-04,4.54,5.14,5.65,5.98,6.2,6.35,6.47,6.57,6.66,6.75
1977-05,4.46,5.03,5.55,5.91,6.15,6.33,6.48,6.61,6.74,6.86
1977-06,4.34,4.94,5.49,5.85,6.1,6.28,6.44,6.57,6.7,6.83
1977-07,4.52,4.92,5.27,5.57,5.82,6.03,6.22,6.37,6.51,6.63
1977-08,4.38,4.77,5.06,5.35,5.63,5.88,6.1,6.28,6.43,6.56
1977-09,4.27,4.72,5.06,5.37,5.64,5.87,6.07,6.24,6.38,6.5
1977-10,4.27,4.75,5.09,5.37,5.62,5.85,6.05,6.22,6.37,6.5
1977-11,4.28,4.77,5.08,5.37,5.63,5.85,6.05,6.2,6.33,6.44
1977-12,4.06,4.7,4.98,5.22,5.46,5.69,5.89,6.07,6.21,6.34
1978-01,3.99,4.32,4.8,5.08,5.29,5.5,5.7,5.9,6.1,6.27
1978-02,3.66,4.24,4.61,4.88,5.1,5.31,5.5,5.69,5.87,6.05
1978-03,3.58,4.21,4.62,4.91,5.13,5.32,5.49,5.65,5.81,5.97
1978-04,3.52,4.18,4.61,4.94,5.21,5.44,5.64,5.8,5.94,6.05
1978-05,3.84,4.34,4.86,5.17,5.38,5.56,5.71,5.84,5.96,6.06
1978-06,3.98,4.68,5.14,5.41,5.6,5.76,5.89,6,6.1,6.19
1978-07,4,5.1,5.65,5.92,6.09,6.22,6.32,6.4,6.47,6.54
1978-08,4.38,5.29,5.7,5.91,6.03,6.12,6.2,6.28,6.35,6.42
1978-09,4.3,5.13,5.56,5.81,5.96,6.08,6.17,6.25,6.32,6.39
1978-10,3.9,5.11,5.57,5.84,6.03,6.19,6.32,6.43,6.53,6.61
1978-11,4.24,5.12,5.68,6.03,6.25,6.4,6.52,6.6,6.66,6.72
1978-12,4.21,5.29,5.8,6.11,6.32,6.48,6.6,6.69,6.76,6.82
1979-01,4.47,5.59,6.05,6.33,6.54,6.72,6.86,6.97,7.06,7.14
1979-02,4.62,5.82,6.33,6.6,6.78,6.93,7.06,7.17,7.27,7.36
1979-03,4.89,6.05,6.53,6.75,6.89,7.01,7.11,7.21,7.31,7.41
1979-04,5.96,6.83,7.07,7.15,7.22,7.29,7.38,7.47,7.58,7.68
1979-05,6.84,7.36,7.56,7.66,7.74,7.82,7.88,7.95,8.01,8.07
1979-06,6.94,7.53,7.7,7.77,7.82,7.87,7.93,7.98,8.05,8.11
1979-07,7.13,7.6,7.63,7.6,7.58,7.58,7.61,7.65,7.7,7.75
1979-08,7.2,7.55,7.56,7.51,7.47,7.46,7.46,7.49,7.53,7.57
1979-09,7.91,7.77,7.65,7.58,7.53,7.51,7.49,7.47,7.46,7.45
1979-10,8.43,8.25,8.13,8.07,8.04,8.04,8.03,8.03,8.03,8.03
1979-11,8.42,8.19,8.02,7.91,7.84,7.8,7.79,7.79,7.8,7.82
1979-12,8.4,8.19,8.03,7.92,7.87,7.85,7.85,7.85,7.87,7.89
1980-01,8.4,8.39,8.29,8.22,8.18,8.15,8.13,8.12,8.11,8.1
1980-02,9.15,9.05,8.98,8.95,8.94,8.93,8.92,8.92,8.91,8.91
1980-03,10,10.03,9.93,9.87,9.83,9.8,9.78,9.77,9.76,9.75
1980-04,9.55,9.23,9.06,8.97,8.92,8.91,8.9,8.9,8.91,8.91
1980-05,9.35,8.8,8.54,8.4,8.32,8.28,8.25,8.23,8.22,8.21
1980-06,8.66,8.23,8.02,7.96,7.95,7.96,7.96,7.96,7.97,7.97
1980-07,8.21,7.92,7.78,7.73,7.72,7.73,7.75,7.75,7.75,7.74
1980-08,8.24,7.98,7.91,7.93,7.96,7.99,7.99,7.98,7.95,7.91
1980-09,8.56,8.26,8.22,8.26,8.29,8.32,8.32,8.3,8.27,8.23
1980-10,8.64,8.46,8.48,8.54,8.6,8.62,8.62,8.59,8.53,8.46
1980-11,8.99,8.8,8.73,8.7,8.68,8.67,8.66,8.65,8.64,8.64
1980-12,9.41,9.15,9.06,9.02,8.99,8.97,8.96,8.95,8.94,8.94
1981-01,9.39,9.23,9.23,9.26,9.27,9.26,9.23,9.18,9.11,9.04
1981-02,11.23,10.75,10.59,10.54,10.52,10.5,10.45,10.4,10.32,10.24
1981-03,11.74,10.64,10.31,10.2,10.14,10.08,9.99,9.88,9.76,9.63
1981-04,11.67,10.88,10.68,10.57,10.44,10.29,10.14,9.99,9.85,9.72
1981-05,12.69,12.24,11.89,11.58,11.3,11.05,10.81,10.6,10.4,10.22
1981-06,12.53,11.84,11.36,11.05,10.82,10.62,10.43,10.24,10.06,9.88
1981-07,12.69,11.92,11.64,11.44,11.22,10.97,10.71,10.45,10.2,9.96
1981-08,13.17,12.33,12,11.76,11.49,11.2,10.9,10.6,10.32,10.06
1981-09,12.12,11.65,11.36,11.11,10.89,10.69,10.5,10.32,10.15,9.98
1981-10,11.36,10.83,10.59,10.47,10.4,10.32,10.23,10.12,9.99,9.85
1981-11,10.1,9.88,9.77,9.71,9.69,9.68,9.67,9.66,9.64,9.61
1981-12,10.43,10.11,9.94,9.85,9.79,9.75,9.72,9.68,9.64,9.61
1982-01,10.24,10.02,9.89,9.83,9.8,9.77,9.75,9.73,9.7,9.67
1982-02,9.97,9.83,9.78,9.75,9.73,9.72,9.7,9.68,9.66,9.64
1982-03,9.36,9.28,9.28,9.29,9.29,9.28,9.26,9.24,9.21,9.17
1982-04,8.95,8.77,8.75,8.76,8.76,8.75,8.72,8.69,8.66,8.62
1982-05,8.78,8.76,8.78,8.8,8.82,8.82,8.81,8.78,8.73,8.67
1982-06,9.39,9.38,9.39,9.4,9.4,9.39,9.37,9.33,9.29,9.24
1982-07,9.18,9.2,9.27,9.28,9.24,9.19,9.13,9.08,9.03,8.99
1982-08,8.55,8.66,8.74,8.78,8.8,8.82,8.83,8.84,8.84,8.85
1982-09,7.98,8.22,8.45,8.52,8.53,8.52,8.5,8.48,8.47,8.46
1982-10,7.47,7.7,7.93,8.05,8.11,8.14,8.14,8.14,8.14,8.14
1982-11,7.27,7.68,7.99,8.1,8.13,8.12,8.11,8.1,8.09,8.08
1982-12,6.6,7.09,7.5,7.69,7.76,7.79,7.8,7.81,7.81,7.82
1983-01,5.88,6.65,7.19,7.49,7.67,7.8,7.88,7.95,8,8.04
1983-02,5.89,6.6,7.09,7.37,7.53,7.62,7.68,7.72,7.75,7.77
1983-03,5.48,6.11,6.73,7.11,7.34,7.48,7.57,7.64,7.69,7.73
1983-04,5.51,6.36,6.95,7.28,7.47,7.61,7.7,7.78,7.83,7.88
1983-05,6.15,7.07,7.56,7.82,7.97,8.07,8.14,8.2,8.24,8.27
1983-06,6.39,7.31,7.77,7.95,8.03,8.07,8.09,8.1,8.12,8.13
1983-07,6.53,7.38,7.84,8.08,8.18,8.23,8.25,8.27,8.3,8.33
1983-08,6.8,7.63,8.06,8.28,8.38,8.44,8.48,8.53,8.58,8.65
